Number,File Name,Content - Fields,Information
1,dailyActivity_merged,"ID, Activity Day, Steps, Distance, Distance by level ( Very, Moderately, Light, Sedentary), Active by level in minutes(Very, Fairly, Lightly, Sedentary) and Calories",Tracking activity between 4 - 5/12/2016 by 33 users.
2,dailyCalories_merged,"ID, Activity Day and Calories",Tracking activity between 4 - 5/12/2016 by 33 users.
3,dailyIntensities_merged,"ID, Activity Day, Distance by level ( Very, Moderately, Light, Sedentary) and Active by level in minutes(Very, Fairly, Lightly, Sedentary) ",Tracking activity between 4 - 5/12/2016 by 33 users.
4,dailySteps_merged,"ID, Activity Day and Steps",Tracking activity between 4 - 5/12/2016 by 33 users.
5,heartrate_seconds_merged,"ID, Tracking (date + time) by seconds and Heart rate value",Tracking activity between 4 - 5/12/2016 by 14 users.
6,hourlyCalories_merged,"ID, Activity (date + time) by hour and Calories",Tracking activity between 4 - 5/12/2016 by 33 users.
7,hourlyIntensities_merged,"ID, Activity (date + time) by hour and Intensity (total and average)",Tracking activity between 4 - 5/12/2016 by 33 users.
8,hourlySteps_merged,"ID, Activity (date + time) by hour and Total steps ",Tracking activity between 4 - 5/12/2016 by 33 users.
9,minuteCaloriesNarrow_merged,"ID, Activity (date + time) by minute and Calories *Narrow form",Tracking activity between 4 - 5/12/2016 by 33 users.
10,minuteCaloriesWide_merged,"ID, Activity (date + time) by minute and Calories *Wide form",Tracking activity between 4/13 - 5/13/2016 by 33 users.
11,minuteIntensitiesNarrow_merged,"ID, Activity(date + time) by minute and Intensity *Narrow form",Tracking activity between 4 - 5/12/2016 by 33 users.
12,minuteIntensitiesWide_merged,"ID, Activity(date + time) by minute and Intensity *WIDe form",Tracking activity between 4/13 - 5/13/2016 by 33 users.
13,minuteMETsNarrow_merged,"ID, Activity(date + time) by minute and METs value (metabolic equivalent)",Tracking activity between 4 - 5/12/2016 by 33 users.
14,minuteSleep_merged,"ID, Tracking(date + time) by minute, Value and logID",Tracking activity between 4/11 - 5/12/2016 by 24 users.
15,minuteStepsNarrow_merged,"ID, Activity (date + time) by minute and Steps *Narrow form",Tracking activity between 4 - 5/12/2016 by 33 users.
16,minuteStepsWide_merged,"ID, Activity (date + time) by minute and Steps *WIDe form",Tracking activity between 4/13 - 5/13/2016 by 33 users.
17,sleepDay_merged,"ID, Sleep day (date + time), Total sleeps records, Total in minutes (asleep and in bed)",Tracking activity between 4/12 - 5/12/2016 by 24 users.
18,weightLogInfo_merged,"ID, Tracking(date + time), Weight in kg and Pounds, Fat, BMI, Manual report and LogID",Tracking activity between 4/12 - 5/12/2016 by 8 users.
